"Ano","Pos","Pts","Rodada","Clube"
2006,1,114,1,"Gama"
2006,1,114,2,"Sport"
2006,1,114,3,"Sport"
2006,1,114,4,"Sport"
2006,1,98.8,5,"Sport"
2006,1,88.6666666666667,6,"Ituano"
2006,1,76,7,"Sport"
2006,1,80.75,8,"Sport"
2006,1,76,9,"Sport"
2006,1,72.2,10,"Avaí"
2006,1,69.0909090909091,11,"Náutico"
2006,1,72.8333333333333,12,"Náutico"
2006,1,67.2307692307692,13,"Náutico"
2006,1,70.5714285714286,14,"Avaí"
2006,1,68.4,15,"Avaí"
2006,1,71.25,16,"Avaí"
2006,1,69.2941176470588,17,"Náutico"
2006,1,67.5555555555556,18,"Coritiba"
2006,1,70,19,"Coritiba"
2006,1,72.2,20,"Coritiba"
2006,1,68.7619047619048,21,"Coritiba"
2006,1,67.3636363636364,22,"Coritiba"
2006,1,67.7391304347826,23,"Náutico"
2006,1,64.9166666666667,24,"Náutico"
2006,1,65.36,25,"Sport"
2006,1,65.7692307692308,26,"Náutico"
2006,1,64.7407407407407,27,"Sport"
2006,1,65.1428571428571,28,"Náutico"
2006,1,66.8275862068966,29,"Atlético-MG"
2006,1,68.4,30,"Atlético-MG"
2006,1,69.8709677419355,31,"Atlético-MG"
2006,1,67.6875,32,"Atlético-MG"
2006,1,69.0909090909091,33,"Sport"
2006,1,68.1764705882353,34,"Atlético-MG"
2006,1,69.4857142857143,35,"Atlético-MG"
2006,1,70.7222222222222,36,"Atlético-MG"
2006,1,71.8918918918919,37,"Atlético-MG"
2006,1,71,38,"Atlético-MG"
2007,1,114,1,"Vitória"
2007,1,114,2,"Fortaleza"
2007,1,88.6666666666667,3,"Ponte Preta"
2007,1,85.5,4,"Vitória"
2007,1,91.2,5,"Fortaleza"
2007,1,82.3333333333333,6,"Criciúma"
2007,1,86.8571428571428,7,"Criciúma"
2007,1,90.25,8,"Criciúma"
2007,1,84.4444444444444,9,"Criciúma"
2007,1,87.4,10,"Criciúma"
2007,1,89.8181818181818,11,"Criciúma"
2007,1,82.3333333333333,12,"Criciúma"
2007,1,84.7692307692308,13,"Criciúma"
2007,1,86.8571428571428,14,"Criciúma"
2007,1,83.6,15,"Criciúma"
2007,1,85.5,16,"Criciúma"
2007,1,80.4705882352941,17,"Criciúma"
2007,1,76,18,"Criciúma"
2007,1,74,19,"Criciúma"
2007,1,70.3,20,"Criciúma"
2007,1,68.7619047619048,21,"Criciúma"
2007,1,70.8181818181818,22,"Criciúma"
2007,1,67.7391304347826,23,"Criciúma"
2007,1,68.0833333333333,24,"Coritiba"
2007,1,69.92,25,"Coritiba"
2007,1,71.6153846153846,26,"Coritiba"
2007,1,73.1851851851852,27,"Coritiba"
2007,1,70.5714285714286,28,"Coritiba"
2007,1,68.1379310344828,29,"Coritiba"
2007,1,69.6666666666667,30,"Coritiba"
2007,1,71.0967741935484,31,"Coritiba"
2007,1,72.4375,32,"Coritiba"
2007,1,71.3939393939394,33,"Coritiba"
2007,1,70.4117647058824,34,"Coritiba"
2007,1,68.4,35,"Coritiba"
2007,1,69.6666666666667,36,"Coritiba"
2007,1,67.7837837837838,37,"Coritiba"
2007,1,69,38,"Coritiba"
2008,1,114,1,"São Caetano"
2008,1,114,2,"Corinthians"
2008,1,114,3,"Corinthians"
2008,1,114,4,"Corinthians"
2008,1,114,5,"Corinthians"
2008,1,114,6,"Corinthians"
2008,1,103.142857142857,7,"Corinthians"
2008,1,95,8,"Corinthians"
2008,1,97.1111111111111,9,"Corinthians"
2008,1,98.8,10,"Corinthians"
2008,1,93.2727272727273,11,"Corinthians"
2008,1,85.5,12,"Corinthians"
2008,1,81.8461538461538,13,"Corinthians"
2008,1,84.1428571428572,14,"Corinthians"
2008,1,81.0666666666667,15,"Corinthians"
2008,1,83.125,16,"Corinthians"
2008,1,78.235294117647,17,"Corinthians"
2008,1,76,18,"Corinthians"
2008,1,78,19,"Corinthians"
2008,1,79.8,20,"Corinthians"
2008,1,81.4285714285714,21,"Corinthians"
2008,1,82.9090909090909,22,"Corinthians"
2008,1,84.2608695652174,23,"Corinthians"
2008,1,85.5,24,"Corinthians"
2008,1,83.6,25,"Corinthians"
2008,1,84.7692307692308,26,"Corinthians"
2008,1,85.8518518518518,27,"Corinthians"
2008,1,84.1428571428572,28,"Corinthians"
2008,1,82.551724137931,29,"Corinthians"
2008,1,81.0666666666667,30,"Corinthians"
2008,1,82.1290322580645,31,"Corinthians"
2008,1,83.125,32,"Corinthians"
2008,1,84.060606060606,33,"Corinthians"
2008,1,84.9411764705882,34,"Corinthians"
2008,1,85.7714285714286,35,"Corinthians"
2008,1,86.5555555555556,36,"Corinthians"
2008,1,87.2972972972973,37,"Corinthians"
2008,1,85,38,"Corinthians"
2009,1,114,1,"Figueirense"
2009,1,114,2,"Figueirense"
2009,1,114,3,"Vasco"
2009,1,114,4,"Guarani"
2009,1,114,5,"Guarani"
2009,1,101.333333333333,6,"Guarani"
2009,1,103.142857142857,7,"Guarani"
2009,1,104.5,8,"Guarani"
2009,1,97.1111111111111,9,"Guarani"
2009,1,98.8,10,"Guarani"
2009,1,93.2727272727273,11,"Guarani"
2009,1,85.5,12,"Guarani"
2009,1,81.8461538461538,13,"Guarani"
2009,1,78.7142857142857,14,"Atlético-GO"
2009,1,81.0666666666667,15,"Atlético-GO"
2009,1,76,16,"Atlético-GO"
2009,1,73.7647058823529,17,"Atlético-GO"
2009,1,76,18,"Atlético-GO"
2009,1,78,19,"Vasco"
2009,1,79.8,20,"Vasco"
2009,1,76,21,"Vasco"
2009,1,74.2727272727273,22,"Vasco"
2009,1,76,23,"Vasco"
2009,1,77.5833333333333,24,"Vasco"
2009,1,79.04,25,"Vasco"
2009,1,80.3846153846154,26,"Vasco"
2009,1,77.4074074074074,27,"Vasco"
2009,1,76,28,"Vasco"
2009,1,74.6896551724138,29,"Vasco"
2009,1,76,30,"Vasco"
2009,1,77.2258064516129,31,"Vasco"
2009,1,78.375,32,"Vasco"
2009,1,77.1515151515152,33,"Vasco"
2009,1,78.235294117647,34,"Vasco"
2009,1,79.2571428571429,35,"Vasco"
2009,1,80.2222222222222,36,"Vasco"
2009,1,78.054054054054,37,"Vasco"
2009,1,76,38,"Vasco"
2010,1,114,1,"Portuguesa"
2010,1,114,2,"Náutico"
2010,1,88.6666666666667,3,"Guaratinguetá"
2010,1,95,4,"Bahia"
2010,1,98.8,5,"Bahia"
2010,1,82.3333333333333,6,"Portuguesa"
2010,1,81.4285714285714,7,"Paraná"
2010,1,80.75,8,"Náutico"
2010,1,84.4444444444444,9,"Náutico"
2010,1,87.4,10,"Náutico"
2010,1,82.9090909090909,11,"Coritiba"
2010,1,85.5,12,"Coritiba"
2010,1,78.9230769230769,13,"Coritiba"
2010,1,81.4285714285714,14,"Coritiba"
2010,1,76,15,"Coritiba"
2010,1,73.625,16,"Figueirense"
2010,1,76,17,"Figueirense"
2010,1,73.8888888888889,18,"Figueirense"
2010,1,72,19,"Figueirense"
2010,1,74.1,20,"Figueirense"
2010,1,70.5714285714286,21,"Figueirense"
2010,1,69.0909090909091,22,"Bahia"
2010,1,71.0434782608696,23,"Coritiba"
2010,1,72.8333333333333,24,"Coritiba"
2010,1,71.44,25,"Coritiba"
2010,1,73.0769230769231,26,"Coritiba"
2010,1,74.5925925925926,27,"Coritiba"
2010,1,76,28,"Coritiba"
2010,1,73.3793103448276,29,"Coritiba"
2010,1,74.7333333333333,30,"Coritiba"
2010,1,73.5483870967742,31,"Coritiba"
2010,1,71.25,32,"Coritiba"
2010,1,70.2424242424242,33,"Coritiba"
2010,1,71.5294117647059,34,"Coritiba"
2010,1,72.7428571428571,35,"Coritiba"
2010,1,73.8888888888889,36,"Coritiba"
2010,1,72.9189189189189,37,"Coritiba"
2010,1,71,38,"Coritiba"
2011,1,114,1,"Ponte Preta"
2011,1,76,2,"Portuguesa"
2011,1,88.6666666666667,3,"Sport"
2011,1,76,4,"ABC"
2011,1,76,5,"Ponte Preta"
2011,1,82.3333333333333,6,"Ponte Preta"
2011,1,76,7,"Portuguesa"
2011,1,80.75,8,"Portuguesa"
2011,1,84.4444444444444,9,"Ponte Preta"
2011,1,76,10,"Portuguesa"
2011,1,79.4545454545455,11,"Portuguesa"
2011,1,82.3333333333333,12,"Portuguesa"
2011,1,78.9230769230769,13,"Portuguesa"
2011,1,81.4285714285714,14,"Portuguesa"
2011,1,83.6,15,"Portuguesa"
2011,1,85.5,16,"Portuguesa"
2011,1,80.4705882352941,17,"Portuguesa"
2011,1,78.1111111111111,18,"Portuguesa"
2011,1,76,19,"Portuguesa"
2011,1,74.1,20,"Portuguesa"
2011,1,76,21,"Portuguesa"
2011,1,74.2727272727273,22,"Portuguesa"
2011,1,76,23,"Portuguesa"
2011,1,77.5833333333333,24,"Portuguesa"
2011,1,76,25,"Portuguesa"
2011,1,77.4615384615385,26,"Portuguesa"
2011,1,76,27,"Portuguesa"
2011,1,77.3571428571428,28,"Portuguesa"
2011,1,78.6206896551724,29,"Portuguesa"
2011,1,77.2666666666667,30,"Portuguesa"
2011,1,78.4516129032258,31,"Portuguesa"
2011,1,79.5625,32,"Portuguesa"
2011,1,80.6060606060606,33,"Portuguesa"
2011,1,79.3529411764706,34,"Portuguesa"
2011,1,78.1714285714286,35,"Portuguesa"
2011,1,79.1666666666667,36,"Portuguesa"
2011,1,80.1081081081081,37,"Portuguesa"
2011,1,81,38,"Portuguesa"
2012,1,114,1,"América-RN"
2012,1,114,2,"América-MG"
2012,1,114,3,"América-MG"
2012,1,114,4,"América-MG"
2012,1,98.8,5,"América-MG"
2012,1,95,6,"Criciúma"
2012,1,97.7142857142857,7,"Criciúma"
2012,1,99.75,8,"Criciúma"
2012,1,92.8888888888889,9,"América-MG"
2012,1,95,10,"Criciúma"
2012,1,89.8181818181818,11,"Criciúma"
2012,1,91.8333333333333,12,"Criciúma"
2012,1,93.5384615384615,13,"Criciúma"
2012,1,95,14,"Criciúma"
2012,1,88.6666666666667,15,"Criciúma"
2012,1,85.5,16,"Criciúma"
2012,1,87.1764705882353,17,"Criciúma"
2012,1,86.5555555555556,18,"Vitória"
2012,1,88,19,"Vitória"
2012,1,89.3,20,"Vitória"
2012,1,86.8571428571428,21,"Vitória"
2012,1,84.6363636363636,22,"Vitória"
2012,1,82.6086956521739,23,"Vitória"
2012,1,83.9166666666667,24,"Vitória"
2012,1,82.08,25,"Vitória"
2012,1,83.3076923076923,26,"Vitória"
2012,1,80.2222222222222,27,"Vitória"
2012,1,81.4285714285714,28,"Vitória"
2012,1,79.9310344827586,29,"Criciúma"
2012,1,81.0666666666667,30,"Criciúma"
2012,1,79.6774193548387,31,"Criciúma"
2012,1,79.5625,32,"Goiás"
2012,1,78.3030303030303,33,"Criciúma"
2012,1,78.235294117647,34,"Goiás"
2012,1,77.0857142857143,35,"Goiás"
2012,1,78.1111111111111,36,"Goiás"
2012,1,77.027027027027,37,"Goiás"
2012,1,78,38,"Goiás"
2013,1,114,1,"Chapecoense"
2013,1,114,2,"Palmeiras"
2013,1,114,3,"Figueirense"
2013,1,95,4,"Chapecoense"
2013,1,98.8,5,"Chapecoense"
2013,1,101.333333333333,6,"Chapecoense"
2013,1,103.142857142857,7,"Chapecoense"
2013,1,95,8,"Chapecoense"
2013,1,97.1111111111111,9,"Chapecoense"
2013,1,98.8,10,"Chapecoense"
2013,1,89.8181818181818,11,"Chapecoense"
2013,1,91.8333333333333,12,"Chapecoense"
2013,1,93.5384615384615,13,"Chapecoense"
2013,1,95,14,"Chapecoense"
2013,1,96.2666666666667,15,"Chapecoense"
2013,1,95,16,"Palmeiras"
2013,1,89.4117647058824,17,"Palmeiras"
2013,1,86.5555555555556,18,"Palmeiras"
2013,1,84,19,"Palmeiras"
2013,1,85.5,20,"Palmeiras"
2013,1,86.8571428571428,21,"Palmeiras"
2013,1,84.6363636363636,22,"Palmeiras"
2013,1,85.9130434782609,23,"Palmeiras"
2013,1,87.0833333333333,24,"Palmeiras"
2013,1,85.12,25,"Palmeiras"
2013,1,86.2307692307692,26,"Palmeiras"
2013,1,83.037037037037,27,"Palmeiras"
2013,1,84.1428571428572,28,"Palmeiras"
2013,1,85.1724137931034,29,"Palmeiras"
2013,1,82.3333333333333,30,"Palmeiras"
2013,1,83.3548387096774,31,"Palmeiras"
2013,1,81.9375,32,"Palmeiras"
2013,1,80.6060606060606,33,"Palmeiras"
2013,1,81.5882352941176,34,"Palmeiras"
2013,1,79.2571428571429,35,"Palmeiras"
2013,1,80.2222222222222,36,"Palmeiras"
2013,1,81.1351351351351,37,"Palmeiras"
2013,1,79,38,"Palmeiras"
2014,1,114,1,"Joinville"
2014,1,114,2,"Joinville"
2014,1,114,3,"Joinville"
2014,1,114,4,"Joinville"
2014,1,98.8,5,"América-MG"
2014,1,101.333333333333,6,"América-MG"
2014,1,92.2857142857143,7,"América-MG"
2014,1,80.75,8,"América-MG"
2014,1,76,9,"Ceará"
2014,1,79.8,10,"Ceará"
2014,1,79.4545454545455,11,"Joinville"
2014,1,76,12,"Ceará"
2014,1,78.9230769230769,13,"Ceará"
2014,1,76,14,"Ceará"
2014,1,78.5333333333333,15,"Ceará"
2014,1,73.625,16,"Ceará"
2014,1,69.2941176470588,17,"Ceará"
2014,1,67.5555555555556,18,"América-MG"
2014,1,70,19,"Ceará"
2014,1,68.4,20,"Joinville"
2014,1,70.5714285714286,21,"Joinville"
2014,1,70.8181818181818,22,"Avaí"
2014,1,72.695652173913,23,"Avaí"
2014,1,72.8333333333333,24,"Joinville"
2014,1,71.44,25,"Joinville"
2014,1,71.6153846153846,26,"Ponte Preta"
2014,1,70.3703703703704,27,"Ponte Preta"
2014,1,71.9285714285714,28,"Ponte Preta"
2014,1,70.7586206896552,29,"Ponte Preta"
2014,1,72.2,30,"Ponte Preta"
2014,1,73.5483870967742,31,"Ponte Preta"
2014,1,72.4375,32,"Ponte Preta"
2014,1,73.6969696969697,33,"Ponte Preta"
2014,1,74.8823529411765,34,"Ponte Preta"
2014,1,74.9142857142857,35,"Joinville"
2014,1,72.8333333333333,36,"Joinville"
2014,1,71.8918918918919,37,"Joinville"
2014,1,70,38,"Joinville"
2015,1,114,1,"CRB"
2015,1,114,2,"Botafogo"
2015,1,114,3,"Náutico"
2015,1,95,4,"Bahia"
2015,1,98.8,5,"Botafogo"
2015,1,101.333333333333,6,"Botafogo"
2015,1,103.142857142857,7,"Botafogo"
2015,1,95,8,"Botafogo"
2015,1,84.4444444444444,9,"Botafogo"
2015,1,87.4,10,"Botafogo"
